WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,22/2/2022,pH,7.09,7.15,7.19
Langat 2,22/2/2022,Ammonia (NH4),0.08,0.17,0.26
Langat 2,22/2/2022,Ferum/Iron (Fe),1.42,1.67,1.91
Langat 2,22/2/2022,Turbidity,77,119.17,236
Langat 2,22/2/2022,Manganese (Mn),0.13,0.32,0.51
Langat 2,23/2/2022,Color,20,25.83,31
Langat 2,23/2/2022,pH,6.99,7.08,7.21
Langat 2,23/2/2022,Ammonia (NH4),0.52,0.65,0.77
Langat 2,23/2/2022,Ferum/Iron (Fe),4.32,5.02,5.72
Langat 2,23/2/2022,Turbidity,196,912.67,1668
Langat 2,23/2/2022,Manganese (Mn),0.63,0.7,0.77
Langat 2,24/2/2022,Color,17,20.67,25
Langat 2,24/2/2022,pH,6.75,6.98,7.12
Langat 2,24/2/2022,Ammonia (NH4),0.2,0.36,0.51
Langat 2,24/2/2022,Ferum/Iron (Fe),2.29,3.2,4.11
Langat 2,24/2/2022,Turbidity,173,345,535
Langat 2,24/2/2022,Manganese (Mn),0.45,0.49,0.52
Langat 2,25/2/2022,Color,16,22,32
Langat 2,25/2/2022,pH,6.83,6.98,7.07
Langat 2,25/2/2022,Ammonia (NH4),0.23,0.71,1.18
Langat 2,25/2/2022,Ferum/Iron (Fe),2.33,4.46,6.59
Langat 2,25/2/2022,Turbidity,179,1071.33,3109
Langat 2,25/2/2022,Manganese (Mn),0.5,1.04,1.58
Langat 2,26/2/2022,Color,10,13.17,22
Langat 2,26/2/2022,pH,7.08,7.12,7.17
Langat 2,26/2/2022,Ammonia (NH4),0.11,0.12,0.12
Langat 2,26/2/2022,Ferum/Iron (Fe),1.21,1.38,1.55
Langat 2,26/2/2022,Turbidity,63,134.83,273
Langat 2,26/2/2022,Manganese (Mn),0.21,0.23,0.25
Langat 2,27/2/2022,Color,16,19.67,28
Langat 2,27/2/2022,pH,7,7.12,7.28
Langat 2,27/2/2022,Ammonia (NH4),0.26,0.37,0.48
Langat 2,27/2/2022,Ferum/Iron (Fe),2.19,3.25,4.3
Langat 2,27/2/2022,Turbidity,175,542.83,1546
Langat 2,27/2/2022,Manganese (Mn),0.58,0.8,1.01
Langat 2,28/2/2022,Color,20,30,41
Langat 2,28/2/2022,pH,6.87,6.96,7.05
Langat 2,28/2/2022,Ammonia (NH4),0.74,0.86,0.98
Langat 2,28/2/2022,Ferum/Iron (Fe),6.53,7.17,7.8
Langat 2,28/2/2022,Turbidity,470,914.67,1400
Langat 2,28/2/2022,Manganese (Mn),1.26,1.51,1.75
Langat 2,1/3/2022,Color,18,19.67,23
Langat 2,1/3/2022,pH,7.05,7.11,7.15
Langat 2,1/3/2022,Ammonia (NH4),0.25,0.25,0.25
Langat 2,1/3/2022,Ferum/Iron (Fe),2.42,2.78,3.14
Langat 2,1/3/2022,Turbidity,277,328.5,411
Langat 2,1/3/2022,Manganese (Mn),0.32,0.51,0.69
Langat 2,2/3/2022,Color,17,24.5,33
Langat 2,2/3/2022,pH,6.82,7.02,7.25
Langat 2,2/3/2022,Ammonia (NH4),0.15,0.48,0.8
Langat 2,2/3/2022,Ferum/Iron (Fe),2.08,4.6,7.11
Langat 2,2/3/2022,Turbidity,164,846.83,1820
Langat 2,2/3/2022,Manganese (Mn),0.4,1.06,1.71
Langat 2,3/3/2022,Color,17,22.17,31
Langat 2,3/3/2022,pH,6.98,7.03,7.07
Langat 2,3/3/2022,Ammonia (NH4),0.08,0.14,0.19
Langat 2,3/3/2022,Ferum/Iron (Fe),2.02,2.62,3.22
Langat 2,3/3/2022,Turbidity,211,328.83,489
Langat 2,3/3/2022,Manganese (Mn),0.37,0.61,0.85
Langat 2,4/3/2022,Color,14,21.17,28
Langat 2,4/3/2022,pH,6.77,6.98,7.76
