,wtp,Date,Aluminium_avg,Ammonia_avg,Color_avg,Chlorine_avg,E.coli_avg,Iron_avg,Fluoride_avg,FRChlorine_avg,flow_rate_avg,Manganese_avg,Odor_avg,Taste_avg,Total_coliform_avg,Turbidity_avg,Weather_avg,pH_avg
5324,Sungai Semenyih,10/23/2020,0.25,0.17,16.33,0.0,0.0,1.24,0.0,0.0,0.0,0.03,0.0,0.0,0.0,71.68,0.0,6.54
5325,Sungai Semenyih,10/24/2020,0.21,0.19,16.33,0.0,0.0,1.18,0.0,0.0,0.0,0.06,0.0,0.0,0.0,73.99,0.0,6.53
5326,Sungai Semenyih,10/25/2020,0.21,0.18,17.25,0.0,0.0,1.15,0.0,0.0,0.0,0.06,0.0,0.0,0.0,69.48,0.0,6.53
5327,Sungai Semenyih,10/26/2020,0.19,0.18,16.25,0.0,0.0,1.08,0.0,0.0,0.0,14.35,0.0,0.0,0.0,58.32,0.0,6.48
5328,Sungai Semenyih,10/27/2020,0.21,0.18,16.08,0.0,0.0,1.23,0.0,0.0,0.0,0.06,0.0,0.0,0.0,64.75,0.0,6.49
5329,Sungai Semenyih,10/28/2020,0.19,0.21,15.58,0.0,0.0,1.19,0.0,0.0,0.0,0.07,0.0,0.0,0.0,56.98,0.0,6.5
5330,Sungai Semenyih,10/29/2020,0.19,0.18,17.17,0.0,0.0,1.2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,106.15,0.0,6.48
5331,Sungai Semenyih,10/3/2020,0.29,0.17,20.67,0.0,0.0,1.69,0.0,0.0,0.0,0.07,0.0,0.0,0.0,200.5,0.0,6.75
5332,Sungai Semenyih,10/30/2020,0.23,0.23,19.0,0.0,0.0,1.35,0.0,0.0,0.0,0.07,0.0,0.0,0.0,99.68,0.0,6.49
5333,Sungai Semenyih,10/31/2020,0.24,0.21,16.83,0.0,0.0,1.88,0.0,0.0,0.0,0.07,0.0,0.0,0.0,319.98,0.0,6.47
5334,Sungai Semenyih,10/4/2020,1.41,0.22,17.75,0.0,0.0,0.07,0.0,0.0,0.0,24.25,0.0,0.0,0.0,101.68,0.0,6.87
5335,Sungai Semenyih,10/6/2020,0.33,0.39,16.0,0.0,0.0,1.26,0.0,0.0,0.0,0.12,0.0,0.0,0.0,55.44,0.0,6.85
5336,Sungai Semenyih,10/7/2020,0.31,0.2,16.75,0.0,0.0,1.35,0.0,0.0,0.0,0.12,0.0,0.0,0.0,102.94,0.0,6.85
5337,Sungai Semenyih,10/8/2020,0.2,0.18,16.92,0.0,0.0,1.4,0.0,0.0,0.0,0.07,0.0,0.0,0.0,113.87,0.0,6.78
5338,Sungai Semenyih,10/9/2020,0.22,0.16,19.08,0.0,0.0,1.44,0.0,0.0,0.0,0.07,0.0,0.0,0.0,166.54,0.0,6.83
5339,Sungai Semenyih,11/1/2020,0.38,0.18,20.42,0.0,0.0,2.22,0.0,0.0,0.0,0.06,0.0,0.0,0.0,292.08,0.0,6.5
5340,Sungai Semenyih,11/10/2020,0.27,0.16,17.5,0.0,0.0,1.77,0.0,0.0,0.0,0.04,0.0,0.0,0.0,100.96,0.0,6.5
