WTP,n_wtp,Code,Description,Amount per month (RM),Production (m3 per month),UnitCost (cent per m3),Month,Year
Sungai Sireh,Sungai Sireh,70110100,Chemical Consumed,97620,499666,19.53705075,9,2020
Sungai Tengi,Sungai Tengi,70110100,Chemical Consumed,4764,55712,8.551120046,9,2020
Wangsa Maju,Wangsa Maju,70110100,Chemical Consumed,35121.91,1265212,2.775970351,9,2020
Ampang Intake,Ampang Intake,70110100,Chemical Consumed,38693,530384,7.295280401,10,2020
Batang Kali,Batang Kali,70110100,Chemical Consumed,29147,206170,14.13736237,10,2020
Bernam River Headworks (Old),Bernam River Headworks (Old),70110100,Chemical Consumed,68049.49,1102873,6.170201827,10,2020
Bukit Nanas,Bukit Nanas,70110100,Chemical Consumed,107179.9,3278213,3.269461136,10,2020
Bukit Tampoi,Bukit Tampoi New,70110100,Chemical Consumed,79057.03,400129,19.75788558,10,2020
Cheras Batu 11,Cheras Batu 11,70110100,Chemical Consumed,50601.65,712230,7.104678264,10,2020
Kalumpang,Kalumpang,70110100,Chemical Consumed,7786.25,154590,5.036710007,10,2020
Kepong,Kepong,70110100,Chemical Consumed,2231,52913,4.216355149,10,2020
Kuala Kubu Bharu,Kuala Kubu Bharu,70110100,Chemical Consumed,9275,192492,4.818382063,10,2020
Labohan Dagang,Labohan Dagang,70110100,Chemical Consumed,95039.8,1706492,5.569308265,10,2020
Langat 2,Langat 2,70110100,Chemical Consumed,548468.5,13351417,4.107942251,10,2020
North Hummock,North Hummock,70110100,Chemical Consumed,45194.41,464418,9.731407913,10,2020
Rantau Panjang,Rantau Panjang New,70110100,Chemical Consumed,52356.94,814838,6.425441622,10,2020
Rasa,Rasa,70110100,Chemical Consumed,289.88,6734939,0.004304122,10,2020
Salak Tinggi,Salak Tinggi,70110100,Chemical Consumed,10802.5,114404,9.442414601,10,2020
Semenyih 2 ,Semenyih 2,70110100,Chemical Consumed,158908.86,2766243,5.744573416,10,2020
Sungai Batu,Sungai Batu,70110100,Chemical Consumed,172942.1,4053279,4.266720845,10,2020
Sungai Buaya,NA,70110100,Chemical Consumed,409,NULL,NULL,10,2020
Sungai Dusun,Sungai Dusun,70110100,Chemical Consumed,3769,43872,8.590900802,10,2020
Sungai Gombak,Sungai Gombak,70110100,Chemical Consumed,37765,931988,4.052090799,10,2020
Sungai Labu,Sungai Labu,70110100,Chemical Consumed,65652.47,2426613.5,2.705518205,10,2020
Sungai Langat,Sungai Langat,70110100,Chemical Consumed,280010.95,7438459,3.764367727,10,2020
Sungai Lolo - Baru,Sungai Lolo - Baru,70110100,Chemical Consumed,8218.5,174298,4.715200404,10,2020
Sungai Pangsoon,Sungai Pangsoon,70110100,Chemical Consumed,5524,117257,4.711019385,10,2020
Sungai Rangkap,Sungai Rangkap,70110100,Chemical Consumed,8171.75,219853,3.716915393,10,2020
Sungai Rumput,Sungai Rumput,70110100,Chemical Consumed,1165.5,8792,13.25636943,10,2020
