wtp,Date,Column2,Column3,Year,Month,ChemicalCode,ChemicalName,TotalMTConsumed,UnitPrice,TotalRMAmount,Column1
Kuala Kubu Bharu,1/7/2022,7,2022,2022,7,B04,Soda Ash (25kg / bag),2.375,1900,4512.5,July
Kuala Kubu Bharu,1/4/2022,4,2022,2022,4,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,April
Kuala Kubu Bharu,1/5/2022,5,2022,2022,5,A02,Kibbled Aluminium Sulphate (50kg / bag),1,1200,1200,May
Kuala Kubu Bharu,1/5/2022,5,2022,2022,5,B04,Soda Ash (25kg / bag),2.075,1900,3942.5,May
Kuala Kubu Bharu,1/5/2022,5,2022,2022,5,C02,Liquid Chlorine (68kg / Cylinder),0.612,8400,5140.8,May
Kuala Kubu Bharu,1/5/2022,5,2022,2022,5,F01,Sodium Silico Fluoride (25kg / bag),0.125,3600,450,May
Kuala Kubu Bharu,1/6/2022,6,2022,2022,6,A02,Kibbled Aluminium Sulphate (50kg / bag),0.8,1200,960,June
Kuala Kubu Bharu,1/3/2022,3,2022,2022,3,C02,Liquid Chlorine (68kg / Cylinder),0.544,8400,4569.6,March
Kuala Kubu Bharu,1/3/2022,3,2022,2022,3,C03,Chloride of Lime Min 60% (50kg / drum),0.05,6000,300,March
Kuala Kubu Bharu,1/3/2022,3,2022,2022,3,F01,Sodium Silico Fluoride (25kg / bag),0.15,3600,540,March
