wtp,Date,Liquid Polyaluminium Chloride (mg/L) _avg,Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L) _avg,Hydrated Lime (Post) (mg/L) _avg,Liquid Chlorine (Post) (mg/L) _avg,Sodium Silico Fluoride (mg/L) _avg,Liquid Chlorine (Pre) (mg/L) _avg,Hydrated Lime (Pre) (mg/L) _avg
Sungai Selangor Fasa 1,15/7/2021,23.16103038,0.076863804,9.309342505,4.900326024,0.804612275,0.955705639,
Sungai Selangor Fasa 1,16/7/2021,23.82309784,0.04735824,13.13027212,5.305761227,0.762701257,0.945664875,
Sungai Selangor Fasa 1,17/7/2021,26.26134502,0.046926555,10.99851226,5.172809636,0.518875008,1.050453801,
Sungai Selangor Fasa 1,18/7/2021,23.52541808,0.049390562,13.11614322,5.216598081,0.653279456,1.077759244,
Sungai Selangor Fasa 1,19/7/2021,20.96726329,0.048041331,10.25935743,5.060004098,0.84896929,0.922393553,
Sungai Selangor Fasa 1,20/7/2021,24.13155961,0.046958216,9.898375915,5.032972319,0.923290426,0.923442028,
Sungai Selangor Fasa 1,21/7/2021,21.48592046,0.048831637,10.75571555,5.378910397,0.825844351,1.065932749,
Sungai Selangor Fasa 1,22/7/2021,23.28067211,0.048858906,11.85054716,5.056305782,0.811492434,1.065648516,
Sungai Selangor Fasa 1,23/7/2021,25.42363811,0.048545665,11.09575139,5.005980823,0.797454642,1.0593799,
Sungai Selangor Fasa 1,24/7/2021,24.26210612,0.046917827,10.70928147,4.833891854,0.796746604,0.420822287,
Sungai Selangor Fasa 1,25/7/2021,26.96884431,0.051800397,9.998022886,4.641735716,0.738632353,0.441622964,
Sungai Selangor Fasa 1,26/7/2021,24.49041922,0.051734765,10.47361821,4.77898516,0.703428351,0.423533647,
Sungai Selangor Fasa 1,27/7/2021,24.24155991,0.05,10.9669314,4.873685086,0.836745167,0.426447567,
Sungai Selangor Fasa 1,28/7/2021,23.56765545,0.051622254,12.20836878,4.885848315,0.855025259,0.935470916,
Sungai Selangor Fasa 1,29/7/2021,25.25408057,0.05,12.41579282,4.905810723,0.883610611,0.966542626,
Sungai Selangor Fasa 1,30/7/2021,24.23647516,0.051696168,10.64967312,4.768302246,0.832383626,0.926745138,
Sungai Selangor Fasa 1,31/7/2021,26.33295291,0.048304132,7.664642895,4.645675582,0.843721004,0.927439325,
Sungai Selangor Fasa 1,1/8/2021,20.25333254,0.048871865,11.82100611,4.791846405,0.752509787,0.9383398,
Sungai Selangor Fasa 1,2/8/2021,22.94361379,0.048458322,12.22213431,4.982400266,0.879996843,0.930399792,
Sungai Selangor Fasa 1,3/8/2021,35.13347651,0.050064769,9.363360819,4.945112828,0.734698343,0.961243559,
Sungai Selangor Fasa 1,4/8/2021,30.50840575,0.069614256,9.739855745,5.084684021,0.865997628,0.936995608,
Sungai Selangor Fasa 1,5/8/2021,31.8544901,0.051810169,10.15549122,5.084408164,0.738387017,0.945081019,
